OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
comet-osb-services	party-address-service-v1	BES	party-address-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-address-service-v1@sha256:e3efab705b2df4fac46e1106985773454dc374a6e095447c6fe12f97445e4b82
comet-osb-services	party-customer-service-v2	BES	party-customer-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/party-customer-service-v2@sha256:6158d855299d0c76a007872cedd0c1ca9901f36eae9499f04eb2431dd27a9ddc
comet-osb-services	party-customer-service-v3	BES	party-customer-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/party-customer-service-v3@sha256:dd53f75a159ef3ab57a805ea523978369a49d1a4794372fc6bc349e37478f6e2
comet-osb-services	party-customerlog-service-v1	BES	party-customerlog-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-customerlog-service-v1@sha256:6a5181d0462720d3937081374e348145349c35b8c9cf53236ff025dc5be50175
comet-osb-services	party-customerlog-service-v2	BES	party-customerlog-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/party-customerlog-service-v2@sha256:69b41951be120085698213b62f4f04a061bb297bf3cb05feff2adc090bf8d347
comet-osb-services	party-dialogue-service-v2	BES	party-dialogue-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/party-dialogue-service-v2@sha256:1960d2194a105e8f25d90f25442de08c68df91d646d9eee93bd34452929c2c7d
comet-osb-services	party-information-service-v1	BES	party-information-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-information-service-v1@sha256:e3980ae58322d0522b86d19cc0ff74d7b70a3de0b95021c6a7ebe0a5426cf010
comet-osb-services	party-partyaddress-service-v3	BES	party-partyaddress-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/party-partyaddress-service-v3@sha256:d5bc15049da0dcd5f25197a636af13fafcbc41c9e4f921939bb08bc160b80bd9
comet-osb-services	party-partycontact-service-v3	BES	party-partycontact-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/party-partycontact-service-v3@sha256:216f0149f48514a8815e557bdf79ead8acc2027d1cf40c30b5623e645cd895c2
comet-osb-services	party-partyresandapp-service-v2	BES	party-partyresandapp-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/party-partyresandapp-service-v2@sha256:5e35995cdb12b8ce878b5ee9698fa3091e3f98330c5ea2bc045827c183ec1162
